ticker
SCHD
VOO
VTI
SPY
IVV
GOOGL
AAPL
MSFT
AMZN
VIG
NFLX
NVDA
IBM
BMY
FTNT
PSTG
ASML
AVNT
PWR
TTD
COST
VIG
AES
SGMO
NVO
VIGI
VYM
SAM
SCHY
VMBS
